Date avis;Date fin d'expérience;Êtes-vous venu :;Verbatim public;Verbatim privé
12/01/2024;06/01/2024;Entre amis;Journée entre amis avec le projet de faire toutes les attractions à sensations fortes. Nous n'avons pas ete déçus par les attractions. Seul bémol les temps d'attente, sur la journée entière 1h30 d'attente pour au moins 3 des attractions phares du parc. Nous avons ete obligés de prendre des fast pass. <br />Autre bémol, la restauration, peu de choix en hiver, beaucoup sont fermés. <br />Ambiance géniale cependant !;Diversifier les points de restauration (surtout en hiver). <br />Réguler les files aux attractions (1h30 c'est un peu décourageant)
12/01/2024;06/01/2024;Entre amis;;Le service au niveau des stands de nourriture est déplorable, le personnel est d'une inefficacité rarement rencontrée.
12/01/2024;01/01/2024;En couple;très bien comme d'habitude ;manque de lumière et décu de ne pas avoir pu porfiter de l'attraction Goudurix jusqu'à 20h comme prévu car le personnel avait fermé l'attraction prématurément . nous étions allés à 19H50
12/01/2024;06/01/2024;Entre amis;;Des jeunes qui doublent dans les files d'attente. Et même avec l'intervention des agents de sécurité, il leurs donnent raison et leur permettent de doubler, c'est étonnant...  <br />Beaucoup de monde sur les attractions. Personnel de restauration lents et visiblement pas très motivés d'être à leur poste.
12/01/2024;06/01/2024;En couple;Une bonne équipe très accueillantes.a l'écoute des visiteurs qualités des restaurants au top <br />Hôtel parfait , pas trop d'attente pour les attractions en même temps notre venus était a noel donc pas trop de monde. <br />Expérience à refaire pour Halloween et Noël <br />Quai de Lutèce très agréable,chambre très classe, restaurant pour réveillon très bien avec cette petite coupe de champagne offert en arrivant. <br />Décor pour le parc exceptionnel avec la visite du village du père noël , et le repère des lutins qui est a refaire pour l an prochain car très agréable, l'attente vaut le coup spectacle sur glace joli , spectacle des pirates amusant, défilé gaulois très bien et feu d'artifice très bien <br />Nous pensons revenir pour 2024 aux hôtel puis parc pour une nouvelle aventure avec ces nouvelles attractions merci;
12/01/2024;06/01/2024;Avec des ados;En plein hiver quand il fait très froid  c’était sympa les braséro installé dans le village de Noël  <br />J’y suis allée avec mon fils de 12 ans et on avait pris le pass argent . Moins de queue  ce qui est un avantage en revanche ce n’est pas pour tout les attractions ! <br />Mais seulement pour les manèges à sensations que je déteste moi personnellement !bon mon fils s’est  éclaté c’est ce qui compte !  <br />J’ai quand même voulu faire tonnerre de zeus qui est un vieux manège à sensation avec une structure en bois ! Je me suis tellement crispée et les virages sont tellement violents ainsi que les chutes que je me suis démontée le cou j’ai porté une minerve pendant 5 jours ! Donc à éviter absolument si vous avez plus de 40 ans et que vous avez peur !;
12/01/2024;06/01/2024;En couple;Super parc, pas mal d’attraction.  <br />Point négatif : trop de monde et trop d’attente, minimum 1h d’attente jusqu’à 2h d’attente pour faire une attraction.  <br />Il devrait y avoir un système de réservation avec un nombre maximum de personne dans le parc.;
12/01/2024;06/01/2024;En couple;Beaucoup trop de monde, une heure au moins  d’attente pour chaque attraction, ce qui fait que sur 9h au parc nous n’avons fait que 5 attraction;Il faudrait vraiment mettre un nombre de personnes maximum, filtrer les entrées. C’est pas possible d’être autant, on perd totalement le plaisir du parc 
12/01/2024;06/01/2024;Entre amis;Lorsque nous avons réservé les places à aucun moment il n'est mentionné qu'il pouvait y avoir abondance sur le parc, au total plus de 20000 personnes et 3h d'attente pour faire un tour de Toutatis, et pour finir 2h30 pour l'Oziris. Plus d'une heure d'attente pour pouvoir manger dans une dans un restaurant sur place.... <br />Au final deux attractions sur la journée, soit 25 € le tour de manège, sans compter le déplacement et la restauration, c'est une honte. Pourquoi ne pas réguler le nombre de places comme les autres parcs, vendre et vendre, c'est sûr que ça remplit les caisses mais ça fait fuir le client. Au prix de la place c'est une honte.;A fuir ! 
12/01/2024;06/01/2024;Avec des ados;Attractions superbes , pour les attractions à grande  sensation on les a belle et bien! Par contre je n'aurai pas pensé qu'en hiver le 6 janvier il y aurait autant de visiteurs....durée d'attente bien trop longue 90 minutes pour 3 d'entre elles , sinon au moins 1 heure pour les autres, au total seulement 6 Attractions ont été réalisées pour une journée complète de présence sur le parc, donc très déçue sur ce point .;
12/01/2024;06/01/2024;Avec des ados;Très bon parc mais il y avait beaucoup trop de monde. <br />Exemple : 2h de queue pour tonnerre 2 Zeus et pourtant temps annoncé de 80 minutes. <br />Cela a gâché la journée qui est déjà écourtée en saison hier car horaires réduits.;
12/01/2024;06/01/2024;Avec des ados;Toutatis et Tonnerre 2 Zeus valent le détour.  Pas mal d'attractions pour les petits. Parc vieillissant. Beaucoup trop de monde! Sanitaires sales.  Toutefois, le personnel rencontré a été agréable.;J'ai déjà donné mon avis mais je reçois tjs le mail de rappel. Il y avait du monde la journée du vendredi 05/01, mais c'était acceptable contrairement à celle du samedi 06/01! 2h de file pour les attractions, 1h de file pour manger des frites à midi. 20 min d'attente à chaque fois qu'il fallait aller aux toilettes, lesquelles n'étaient pas propres. Pas assez d'endroits intérieurs où consommer quelque chose en se réchauffant. Après 30 min d'attente et encore beaucoup de monde devant nous, nous avons abandonné l'idée d'aller au Repaire des Lutins (les gens ne pouvaient y entrer qu'au compte-goutte).  Il y avait indéniablement trop de monde dans le parc! Toutefois,  le personnel rencontré a été agréable et je trouve qu'il faisait son possible au vu de la situation.
12/01/2024;06/01/2024;Avec des ados;Temps d attente des attractions beaucoup  trop long;Temps d attente des attractions beaucoup trop long  <br />Les pass et le parking beaucoup trop chers
12/01/2024;06/01/2024;En couple;;"Le pass Filotomatix illimité devrait fonctionner dans certains restaurants également ; l'expérience serait bien meilleure si l'on pouvait également gagner du temps à midi."
12/01/2024;06/01/2024;Avec des jeunes enfants;;Nous avons eu un souci avec un coupon pour une place offerte pour 2 places adultes achetées car j'avais pris les places sur Internet et j'ai quand même du payer sur place 16 euros. Il serait bien de savoir dans quelle modalité utiliser ce coupon ( qui était inclus dans les chèques tir groupé ) car le code réduction ne fonctionnait pas sur le site internet.
12/01/2024;23/12/2023;Avec des ados;Superbe journée à refaire ;Une superbe journée dans l'ensemble seul point que j'ai regretté je suis une personne en surpoids et au tonnerre de Zeus avant je pouvais la faire et maintenant avec les nouveaux sièges et la nouvelle fermeture impossible pour moi de la faire je n'ai pas pu faire non plus le Pégase express 
12/01/2024;06/01/2024;Avec des jeunes enfants;;Peux d'attractions sont possible avec un enfant en bas Age ( >2ans)en porte bébé cela impose un roulement entre les parents pour profiter des attractions avec un enfant plus grand ( 5 ans)
12/01/2024;06/01/2024;Avec des ados;Sentiment d'insécurité dans le parc mais un magnifique parc;
12/01/2024;06/01/2024;Avec des jeunes enfants;.;Bonjour  <br />Après une saison passée dans le parc nous trouvons plusieurs points très négatifs : l amabilité du personnel peu souriant peu avenant peu aimable ! On dirait que nous les ennuyons .  <br />Enfin deuxième point très négatif: la propreté des WC et des restaurants ! Très sales même des le début du service . Les WC sentent de très loin sur tout a l et et leur état est déplorable même en fréquentation faible dans le parc . Et lorsque vous changez un enfant en situation de handicap c est vraiment complexe. <br />Enfin on a eu le problème surper les gobelets mais nous avons perdu le ticket de consigne et donc nos 2 euros ! Bref nous aurions dû les garder.
12/01/2024;07/01/2024;En couple;Séjour au top ;Certaines statues manquait de peinture sinon à part ça le séjour a été au top
12/01/2024;06/01/2024;Avec des ados;Très beau parc, les attractions sont variées et procurent des sensations fortes. <br />L hôtel les quais de lutece est vrai magique ( chambres très confortables, petit déjeuner variés). <br />Rien à dire, on reviendra. <br />Merci ;Peut-être imaginer des solutions pour diminuer le temps d'attente pour certaines attractions ( single rider, file pour ceux qui veulent être devant ou dernier  dans le tonnerre 2 zeus). <br />Placer des vigiles au milieu des files  pour les personnes peu scrupuleuses qui n hésitez pas à dépasser et les expulser du parc. Seul point négatif
12/01/2024;06/01/2024;Entre amis;Je trouve que le site est un peu mal foutu , avec un ami on a voulu réserver nos place pour Halloween étant donner qu’on avait le pass , et on s attendait à avoir des catégories événementiel directement sur le site , et on a jamais eu de rep de comment alors on a abandonné la nocturne d Halloween ;Ayant le pass surtout plus de 200€ , je trouve quand même assez dommage qu’il n’y est pas un accès privilégié à l entrée du parc pour les pass pour leur faciliter le passage et accès plus rapide et qu’il n’y est pas plus de place de parking réservé pour les pass , à ma derniere visite mon amie et moi finissions le taffe a 13:30 , donc on a du se débrouiller pour trouver , aussi le filotomatix je trouve ça bien , mais peut être mettre un formulaire directement sur l appli pour éviter les attente au points pass, ou alors c’est déjà sur l application mais mal indiqué, également peut être avoir des heure privilégié, afin que les pass puissent profiter des attractions avant les heures d’ouverture, si toute ses conditions et avantages supplémentaires sont présent ,avec plaisir je reprend un pass
12/01/2024;06/01/2024;Avec des ados;Nous sommes venus entre amis avec nos enfants pour un Noël gaulois et nos espérances ont été comblées. Que ce soit la décoration avec les jardins lumineux,les spectacles, les attractions, le feu d artifice, la parade gauloise, une visite au parc s impose ne serait ce que pour oser Toutatis. Nous reviendrons ;
12/01/2024;06/01/2024;Avec des jeunes enfants;Super journée même s'il y avait du monde, nous avons fait les spectacles, qui ont plu a toute la famille ;Très bien mais l intérieur de certains manèges était plutôt sale des l ouverture de l attraction.
12/01/2024;06/01/2024;Entre amis;;Payer 51€ pour effectuer seulement 2 attractions est inadmissible ce n est pas logique d accepter autant de personne dans le parc et d avoir des files d attentes de 2 heures par attraction
12/01/2024;06/01/2024;Avec des jeunes enfants;;Le parc est très sympa et les mises en lumières pour le noel gaulois au top. par contre, un gros soucis pour les sandwich savoyard lié au nombre de machines et très déçue par les attractions en avant première pour les clients hotels
12/01/2024;06/01/2024;En couple;Très bon moment passé au parc , des sensations fortes .  <br />Je recommande pour les grands comme pour les petits ;Le point qui pas déçu est le fait de pas voir de mascotte ce balader dans le parc de la journée .
12/01/2024;06/01/2024;Avec des jeunes enfants;Décorations et spectacles féeriques. <br />Bravo et merci !;Axes d'amélioration : <br />Permettre l'utilisation des bornes pour l'ensemble des billets d'entrée. <br />Reparer le défi de César. <br />Rénover la file d'attente du pégase express.
12/01/2024;06/01/2024;Avec des jeunes enfants;Top;Top
12/01/2024;06/01/2024;Avec des ados;;J'y suis allée avec ma fille et nous savons pu faire que 3 attractions !!! Du fait du monde très important... c dommage . <br />
12/01/2024;06/01/2024;En couple;Très bien;Personnellement, je trouve que le filotomatix un peu mal attentionné. En vue du nombre de personne quotidien dans le parc, cela nous force (indirectement) a payer pour pouvoir faire une attraction. Cependant, limiter un nombre de visiteur quotidien afin d'obtenir un temps d'attente raisonnable pour les attractions aurait été plus judicieux. <br />Ainsi, les attractions, les animations, les spectacles et surtout les décorations de noël sont super ! Je vous retire mon chapeau !!
12/01/2024;06/01/2024;Avec des jeunes enfants;Ras;
12/01/2024;06/01/2024;Avec des jeunes enfants;;Le parc doit être plus vivant que ça quand j’étais allé en 2014 chaque 10 mètres il y avait des animations où on croisait des personnages  <br />Sur ce côté ça a malheureusement bien changé
12/01/2024;06/01/2024;Avec des jeunes enfants;Une excellente journée en famille, divertissement assuré pour chacun ! Les froussards comme les plus hardis !;Il manque des abris chauffés pour manger et reprendre de l'énergie quand il fait trop froid. Avec un enfant PSH nous étions 5 (2 adultes et les 3 enfants) dont un reste sur le carreau car les activités sont limitées à 4 pour le passage PSH.  Trop d'attente pour les repas mais le personnel (bien que peu expérimenté) était motivé. C'est dommage, une même famille devrait pouvoir faire les attractions ensemble. Sinon le reste était parfait.
12/01/2024;06/01/2024;Avec des jeunes enfants;Rien à dire  dire. Toujours une agréable journée ;
12/01/2024;06/01/2024;Entre amis;c’était vraiment super, merci beaucoup ;
12/01/2024;06/01/2024;Avec des ados;Plein de gens doublent dans les files, il serait bien de faire sanctionner ce type de comportement surtout lorsqu’on fait en moyenne une heure de queue par attraction. C’était ma deuxième et dernière visite.;
12/01/2024;06/01/2024;Avec des jeunes enfants;Je trouve inadmissible d’accueillir autant de monde. Nous avons pu effectuer que 4jeux pour le prix qu’on paye. Les temps d’attente sont horribles.;Vous devriez limiter les entrées les week-ends
12/01/2024;06/01/2024;En couple;Extrêmement decu du monde , nous n’étions pas au courant de la fermeture du parc et aurions aimé être courant car vu les heures d’attentes nous avons a peine fais la moitié des attractions du parc… ;
12/01/2024;06/01/2024;Avec des ados;Leuk park, zeer aangenaam verrast van de attracties. Wel zeer koud en weinig opties op binnen te schuilen. ;
12/01/2024;06/01/2024;Avec des ados;Le spectacle de noël été excellent toute la famille a appréciée. Le jardin du père noël magnifique tout comme la parade . Il y’a avait un monde fou c’est dommage car l’attente pour les jeux à sensation allait jusqu’à 1h45 dans un frois glacial, difficile de circuler aussi dans le parc.;Il serait préférable de faire un accès maximum au parc car nous n’avons pas pu tout faire par manque de temps du à l’attente au jeux. Nous sommes une famille de 6 personnes nous  ne pouvons pas nous permettre de prendre des coupe fils
12/01/2024;06/01/2024;En couple;;Merci d'essayer de changer 'qui veut la peau du père Noël' ou 'main basse sur la Joconde'. À force, on connaît. Par contre, le jardin du père Noël, c'était magique. À bientôt. 
12/01/2024;07/01/2024;Entre amis;Super sympa mais beaucoup trop d'attente. Mais merci pour l acceuil ,l'ambiance et la qualité des attractions .;Super sympa mais beaucoup trop d'attente. Mais merci pour l acceuil ,l'ambiance et la qualité des attractions
12/01/2024;07/01/2024;En couple;Très bien 👍 ;
11/01/2024;03/01/2024;Avec des ados;Superbe moment en famille ! Et mega top le Toutatis ! Une bonne déconnexion de la vie quotidienne, un beau voyage !;Un plan papier plus accessible et repérage et orientation dans le parc pas évident.
11/01/2024;05/01/2024;Avec des ados;;Bonjour. Surpris du peu d'attente pour Goudurix. Surpris mais pas longtemps. Ni fun, ni plaisir. Ça fait juste très mal. C'est une salade de baffes. Il faut mettre un avertissement à l'entrée : Attention, ride merdique qui fait très mal. Nous offrons les antalgiques à la sortie.... Bravo pour Toutatis. Encore... Vivement le prochain.
11/01/2024;05/01/2024;Avec des jeunes enfants;Chouette parc avec diversité d'attractions.  <br />Parc très propre et personnel agréable. <br />Dommage que le parc manque d'éclairage. ;Nous avons l'habitude d'aller dans des parcs d'attractions.  Nous beaucoup aimé le parc et avons été très satisfaits de la gentillesse du personnel notamment ceux des restaurants. Ainsi que de la propreté du parc !  <br /> <br />Voici les éléments qui nous ont déçus : <br />- le parc est fort sombre et très peu éclairé par endroits voir pas du tout ! Cela peut même être dangereux. Nous nous sommes retrouvés dans un coin non éclairé près des passerelles en bois et ma fille de 5 ans a paniqué car elle avait un peu avancé et ne nous trouvait plus.  <br />- les restaurants ferment trop tôt...avant même la fermeture du parc il n'y a plus aucune possibilité de manger... les clients étaient refusés alors qu'il était à peine 19h45.  <br />Cela est compliqué lorsque nous avons encore 2 heures de route pour rentrer.
11/01/2024;05/01/2024;Entre amis;;Tout était parfait, ce serait bien d’avancer l’heure du feu d’artifice, afin qu’on puisse prendre la navette sereinement. Et peut être un espace intérieur libre lors de périodes de grand froid. Sinon tout était parfait 
11/01/2024;04/01/2024;Entre amis;Très bon séjour au parc malgré la météo. Accueil chaleureux lors de notre arrivés à l'hôtel.;
11/01/2024;05/01/2024;Avec des ados;Très bon parc avec des attractions variées pour petits et grands. <br />Les décorations sont sympas au fil des thèmes de la saison (halloween et Noël). <br />L'hôtel avec accès privilégié est agréable. <br />Seul bémol la restauration avec une qualité de service et de produits très moyenne tout au long de la saison que ce soit les restaurants, snacks ou restauration rapide... Le pique-nique est de rigueur selon moi.;L'offre de restauration est médiocre avec une qualité de produits très moyenne et un service lent et pas toujours efficace. Je ne pointe pas du doigt le personnel directement car a fait de son mieux mais la prise de commande, l'encaissement et le service effectué par la même personne font que l'attente est très longue.
11/01/2024;28/12/2023;En couple;"On se sent chez nous....parc à taille humaine. Je n'aime pas les manèges à sensation mais d'autres animations et spectacles m'ont enchantée..... je vais organiser une journée pour les adhérents de mon association pour la période de Noël 2024. Peut-être que le Père Noël aura  eu sa potion....la parade est joviale et amusante avec sa chanson  ""le Père Noël rêve de potion""";J'ai trouvé domage de ne pas avoir vu de spectacle dans le village gaulois et de déambulation au cours de la journée 
11/01/2024;05/01/2024;Avec des jeunes enfants;Nous avons passé un agréable séjours au parc ! L’idée de mettre des braseros partout dans le parc en hivers est super ! Parc propre et bien entretenu ! Nous reviendrons .;
11/01/2024;07/01/2024;Entre amis;J'adore le parc Asterix malheureusement je trouve que le service client est de plus en plus mauvais...  Nous constatons tous les efforts déployés sur la déco, les spectacles ou même les attractions alors pourquoi ne pas en faire de même avec le service client... Zero geste commercial sur un Filotomatix alors que nous avons fait plus de 40 min de queue pour rien chez la Trace du Houra et 45 chez Tonnerre de Zeus suite à des pannes techniques... Leurs confrères du milieu (Mickey et Futuroscope eux le font...).;Nous avons eu 2 mésaventures sur une même journée (07/01/2024) La première à consistée à attendre 40min dans la fille d'attente de La Trace du Houra pour que l'on nous annonce que l'attraction est momentanément hors service quand j'ai eu l'audace, que dis-je le culot de demander à l'un des cast member de l'attraction si pour excuser cette gêne il prévoyait de donner un Filotomatix pour une prochaine attraction il a été odieux en prétextant que cela est impossible (Mickey et le Futuroscope le font eux...). Passons cette première mésaventure direction Tonnerre de Zeux et cette fois-ci c'est après 45 min de queue que l'on nous a annoncé une nouvelle panne technique... Comprenez que nous n'avons pas réitéré notre demande de Filotomatix... Résultat 1h25 de perdue dans notre journée de visite...
11/01/2024;05/01/2024;Entre amis;Très jolie pour  ambiance de Noël  avec des belle décoration et spectacle . ;
11/01/2024;04/01/2024;Avec des jeunes enfants;visite en famille cela manque dans votre questionnaire  <br />;
11/01/2024;05/01/2024;Avec des ados;"Cela faisait longtemps que nous voulions aller au parc d'attractions et nous avons apprécié notre journée. Attention certaines attractions avec la couleur violette ""famille"" secouent déjà beaucoup. Une journée c'était bien mais cela n'a pas suffit à faire toutes les attractions que l'on voulait en raison du temps passé dans les files d'attente. Les piques-niques sont permis et je les recommande car nous avons été déçus par les repas pris sur place, chers et mauvais. <br />Je recommande le parc et je pense y retourner pour que les enfants fassent les attractions manquées.";"J'ai noté moyen pour l'accueil par le personnel car c'est soit excellent à tous niveaux, et heureusement c'est la majorité du personnel, soit affligeant : brusquerie et mutisme  par un agent au ""cheval de Troie"" , je n'ai pas eu le temps de placer correctement mes jambes avant que l'agent n'abaisse la barre,  j'ai hurlé de douleur, j'ai encore 2 bleus sur mes cuisses à cause de l indifférence de cet agent. Niveau de langage inapproprié par un agent au ""Tonnerre 2 Zeus"". <br />J'ai regretté que beaucoup de visiteurs fument ou vapotent dans les files d'attente. J'ai regretté que certains visiteurs doublent dans les files d'attente sous de faux prétextes. <br />A  ""Tonnerre 2 Zeus"" , nous avons dû attendre davantage suite à une écharpe tombée. <br />Je ne comprends pas la présence de stands forains payants."
11/01/2024;07/01/2024;Avec des ados;Expérience moyenne attractions sympa pas assez diversifier, j ai fais 2 standes crêpes = non qualifié ne sais pas rendre la monnaie,celui du chocolat chaud pas énergique du tout ! Pas agréable, pas de personnages asterix obélisque défilant dans le parc résultat bof;Expérience moyenne attractions sympa pas assez diversifier, j ai fais 2 standes crêpes = non qualifié ne sais pas rendre la monnaie,celui du chocolat chaud pas énergique du tout ! Pas agréable, pas de personnages asterix obélisque défilant dans le parc résultat bof
11/01/2024;05/01/2024;Entre amis;Nous avons passé une très bonne journée et avons eu plein d'émotions ! À refaire sans hésiter.;Le système de paiement pour la navette au départ de Roissy pôle est absurde. Autant bloquer le paiement sur internet pour éviter les erreurs. <br />Le fait de devoir passer obligatoirement par le guichet, comme pour l'achat direct des billets de la navette, ne fait gagner aucun temps et j'ai vu beaucoup de personnes faisant la queue pour monter dans le car et se faire recaler juste avant la montée parce qu'ils n'ont pas vu le petit message. Donc cela leur fait beaucoup d'attente supplémentaire à cause d'une mauvaise communication de la part du parc Astérix. <br />J'espère que vous pourrez rapidement corriger ce problème qui nuit beaucoup à l'expérience, car cela fait perdre du temps de loisir dans le parc.
11/01/2024;05/01/2024;Avec des ados;Bonne ambiance ;
11/01/2024;06/01/2024;Avec des ados;Beaucoup de sensations fortes;
11/01/2024;04/01/2024;Entre amis;Parc superbe  <br />Très amusant  <br />Excellent entre amis et famille ;
11/01/2024;07/01/2024;En couple;Très simple et complet <br />;
11/01/2024;07/01/2024;Entre amis;;Le parc est sale par endroit <br />Propreté  et état  des sanitaires à revoir 
11/01/2024;05/01/2024;Avec des jeunes enfants;Très belle journée au parc, ensoleillé. Décor de Noël féerique. Le personnel vraiment sympathique. Je ne manquerais pas de revenir avec mes enfants ;Manque de papier dans certain toilettes. Et le service très très long. 
11/01/2024;05/01/2024;Avec des ados;Un bon moment passé en famille.  Un peu compliqué d'utiliser l'application smartphone , qui est capricieuse et pas toujours fiable sur les temps d'attente et/ou la disponibilité des manèges. Quand à l'activation du Filomatix pour les grandes familles (9 filomatix) cela a été une galère sans nom, nous avons perdu quasiment 1 heure pour avoir l'intégralité sur le téléphone !;Nous avons failli ne pas venir, car durant plusieurs jours, il n'y avait plus de filomatix de disponible (dysfonctionnement du site) et 2 jours avant de partir ailleurs,  j'ai retenté et là , de nouveau disponible . Et en prenant le soin de contacté le service client, tout le monde m'a confirmé que la limite de vente des filomatix avait été atteint . Attention vous avez failli perdre 9 clients , sur un pb de communication .
11/01/2024;05/01/2024;Avec des jeunes enfants;;J'ai trouvé que le personnel sur certaines attractions et restauration était vraiment non souriant et surtout nonchalant, ce qui rallongeait plus qu'autre chose les temps d'attente !!
11/01/2024;05/01/2024;Avec des ados;Très satisfait de mon retour au Parc après 17 ans ! Un peu moins enclin aux sensations fortes que ma fille et sa cousine, j'ai passé un bon moment;Balisez un peu plus les points de restauration sur les cartes du parc.
11/01/2024;05/01/2024;Entre amis;;Très longue attente aux stands de nourriture boissons <br />Gaufres froides encore congelé 
11/01/2024;05/01/2024;Avec des ados;Trop d attente pour le sam et épouse manger ou boire un café  <br />Journée catastrophique 5 manège de fait pas adapté au enfants entre 8 et 12 ans je suis très decu;
11/01/2024;05/01/2024;Avec des jeunes enfants;Nous avons été agréablement surpris par le parc ! C'était une première mais certainement pas une dernière.;Au vu des travaux, les sanitaires étaient peu nombreux à être en fonctionnement d'après ce que nous as dit le personnel d'entretient, alors beaucoup de monde, mauvaises odeurs et propreté à revoir. Peut-être prévoir un désodorisant :-) 
11/01/2024;05/01/2024;Avec des ados;Beaucoup d'attente le jour où nous sommes venus, y compris dans les restaurants.  <br />Dommage car les attractions proposées sont vraiment très sympa. ;D'autres possibilités d'accès en transports collectifs seraient intéressantes.
11/01/2024;05/01/2024;Entre amis;Les temps d'attente sont extrêmement mal calculés, j'ai attendu 1h15 pour une attraction qui en indiquait 45, ce qui m'a fait perdre énormément de temps;Avoir un pass annuel et devoir attendre 30min à l'entrée du parc le matin car le pass ne peut pas être scanné aux tourniquets et qu'une seule porte est mise à disposition pour l'entrée de tous les detenteurs d'un pass est incompréhensible, frustrant et stupide.
11/01/2024;05/01/2024;Avec des jeunes enfants;Très belle journée mais malheureusement gâchée en raison du peu de possibilités de se restaurer convenablement. Nous avons pu manger correctement seulement à 17h30 !;
11/01/2024;05/01/2024;Avec des jeunes enfants;Parfaite ambiance de Noël, et les décorations sont très jolies! Les spectacles sont magnifiques !;
11/01/2024;05/01/2024;En couple;J'ai passé une année génial au parc Astérix, prendre un pass annuel était la meilleure chose a faire pour en profiter a 100%! Chaque changement de thématique est incroyable, et l'évolution du parc est juste géant! Hâte d'y retourner :);Il faudrait créér un entré spécifique bien déterminé pour les pass annuel, j'ai remarque a ma dernière visite qu'il y en avait beaucoup et j'ai finalement plus attendu que les personnes qui avait un billet classique.
11/01/2024;05/01/2024;Avec des jeunes enfants;Toujours un plaisir de dormir dans l un des hôtels du parc. Le restaurant est très bien. Heureusement qu’on peut profiter d’une ouverture anticipée car l’attente a  certaines attractions devient trop long dès l’ouverture. L’ambiance est toujours au top.👍;Malgré la qualité de l’hôtel et que l’on soit au 2eme étage (ce qui était très bien) mes enfants ont été perturbés par des bruits et cris provenant de la sortie du restaurant je pense.
11/01/2024;07/01/2024;Avec des ados;;Inadmissible en 2024 de ne pas pouvoir charger son véhicule électrique durant la visite du parc. Surtout avec un parking payant à 20 euros. <br />On est obligé d'aller perdre 1h ua supercharger de Senlis une fois la journée terminée. Ça n'est plus tolérable de nos jours
11/01/2024;05/01/2024;Avec des ados;Parc à sensations fortes. Ambiance conviviale, parc boisé, beaux décors ;
11/01/2024;05/01/2024;Avec des jeunes enfants;Très bon parc aussi bien les petits comme les grands;
11/01/2024;05/01/2024;Avec des jeunes enfants;Nous avons mangé au self à côté de la trace du Hourra. C’était une catastrophe, le personnel n’a pas géré le flux , il manquait des aliments , une queue énorme  <br />Très mal géré ;Nous avons mangé au self à côté de la trace du Hourra. C’était une catastrophe, le personnel n’a pas géré le flux , il manquait des aliments , une queue énorme  <br />Très mal géré 
11/01/2024;05/01/2024;Avec des ados;;Dommage que la journée samedi il y a eu autant de monde. Les files d'attente étaient bien trop longue. Nous avons écourté notre journée à 14h. C'est le seul bémol de notre séjour
11/01/2024;05/01/2024;Avec des ados;Le personnel que nous avons rencontré au niveau des attractions n'est pas particulièrement souriant.  <br />Par contre,Le parc est vraiment très beau, en particulier en cette période de fête. Nous avons passé une très belle journée ;Peut-être un peu plus de panneaux indicateurs. On a parfois eu du mal à se repérer 
11/01/2024;05/01/2024;Avec des jeunes enfants;;Les temps d’attente sont vraiment très long et malheureusement les prix des fast pass sont exorbitants. 
11/01/2024;05/01/2024;Avec des jeunes enfants;A faire 1 fois par an maximum. On se lasse très vite. 80% des employés font la gueule. Les restaurants vraiment pas top. Sortir du parking relèvent du parcours du combattant en frôlent sa voiture aux autres qui collent. Seule le jardin de noel était sublime.;Ma fille a eu un bracelet d’un employé indiquant qu’elle mesurer 1m. Nous avons donc pris des coupe file expres. Arrivee a une attraction on nous refuse l’acces car soit disent il manquerai 1cm . Et des petites filles beaucoup plus petite que ma fille sont passés et personne ne les a re mesurer. Quelle honte et degout. Donc coupe file perdu. Et vue le prix d’un coupe file merci ! Reste de la journée gâchée et une seule envie rentrer chez nous. Je ne renouvellerai pas mon pass.
11/01/2024;05/01/2024;En couple;;Il manque des éclairages le soir. Le parc n’est absolument pas éclairé et c’est dangereux 
11/01/2024;05/01/2024;Avec des ados;2 jours supers. Belles décorations pour Noël.  Très bon moment passé en famille;
11/01/2024;31/12/2023;Entre amis;Le meilleur parc de France sans hésitation ! <br />Le parc de mon enfance, depuis toujours j'y vais et j'irai jusqu'à ce que je quitte ce monde ❤️ <br />J'habite à 5 minutes et c'est parfait.;
11/01/2024;05/01/2024;Avec des jeunes enfants;;Sommes venus en bus avec billets imprimés. Aurait été utile de savoir qu'il fallait absolument passer au guichet pour le faire tamponner (on l'a su par une affichette visible une fois qu'on a fait 40' de queue).  <br />Vu l'affluence,  attente de la navette très longue, (1h) dans un espace ouvert aux 4 vents. Ça commençait pas terrible. Heureusement l'expérience su Parc a  été vraiment très chouette!
11/01/2024;04/01/2024;Avec des jeunes enfants;;j'ai regretté un manque d'efficacité dans les points restauration. On a pas envie de perdre du temps quand on fait un stop gouter ou dej. et gros bemol manque d'hygiene dans les WC 
10/01/2024;07/01/2024;En couple;;Nous avons déjà depuis 2 ans le pass. Par contre il serait bien lors de l'ouverture du parc d'avoir une file réservée aux porteurs de pass. Car nous sommes venus ce dimanche et pas assez de guérite ouverte pour biper nos pass
10/01/2024;07/01/2024;Avec des ados;Une expérience  géniale  comme  d habitude  une bonne  journée  de  passé  <br />Continuez ;Un renouvellement  des spectacles   dans  l arènes  serait  bien.
10/01/2024;05/01/2024;En couple;Je vais souvent au parc Astérix et je ne suis jamais déçue ! L’ambiance est très sympa et je recommande bien sûr Toutatis qui est tout simplement excellent.;
